楼盘名称,租赁方式,户型,面积,朝向,房租,更新时间,采集时间,城市,区域,街道或片区,地段,地址,公交站,主图链接,楼盘详情链接,页面网址,标签
"温馨舒适的装修 家的感觉 沿海赛洛城 元芳,就这套吧!!",整租,2室2厅,98㎡,朝南,8000元/月,,2018-11-02 21:49:44,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419434047_1.htm,http://zu.fang.com/house-a01-b04512/i335/,
网红聚集地 百子湾沿海赛洛城一居室 温馨典雅 干净整洁,整租,1室1厅,56㎡,朝东,5900元/月,,2018-11-02 21:49:44,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419302308_1.htm,http://zu.fang.com/house-a01-b04512/i335/,周边配套齐/首次出租/采光好
东四环百子湾 沿海赛洛城温馨复试 女神家私 网红聚集地 爆炸商圈,整租,1室1厅,64㎡,朝南,6300元/月,,2018-11-02 21:49:44,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419166770_1.htm,http://zu.fang.com/house-a01-b04512/i335/,交通便利/周边配套齐/全装全配
"金泰先锋,精装主卧,次卧,包物业取暖",合租主卧,4户合租,15㎡,朝东,2500元/月,,2018-11-02 21:49:44,北京,朝阳,百子湾,金泰先锋,朝阳-百子湾-金泰先锋,距7号线百子湾站约256米，距东石门公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419232429_1.htm,http://zu.fang.com/house-a01-b04512/i335/,交通便利/采光好/全装全配
后现代城 北向两居室 全新装修 高层无遮拦 随时起租,整租,2室1厅,78㎡,朝北,7800元/月,,2018-11-02 21:49:44,北京,朝阳,百子湾,后现代城,朝阳-百子湾-后现代城,距7号线大郊亭站约843米，距大郊亭桥东公交站约892米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418942877_1.htm,http://zu.fang.com/house-a01-b04512/i335/,
百子湾地铁口 金泰先锋 精装朝南大主卧 两居室住两家 拎包住,合租主卧,2户合租,25㎡,朝南,3800元/月,,2018-11-02 21:49:44,北京,朝阳,百子湾,金泰先锋,朝阳-百子湾-金泰先锋,距7号线百子湾站约256米，距东石门公交站约400米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419405930_1.htm,http://zu.fang.com/house-a01-b04512/i335/,
、东四环、百子湾宜家风格两居室、随时看房、竭诚为您服务,整租,2室1厅,98㎡,朝南,8500元/月,,2018-11-02 21:49:44,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_412450299_1.htm,http://zu.fang.com/house-a01-b04512/i335/,
金都杭城东区 金都心语 温馨大开间 女神专属 干净整洁随时看,整租,1室1厅,50㎡,朝南,6600元/月,,2018-11-02 21:49:44,北京,朝阳,百子湾,金都心语,朝阳-百子湾-金都心语,距7号线百子湾站约762米，距四惠枢纽站公交站约986米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417966951_1.htm,http://zu.fang.com/house-a01-b04512/i335/,交通便利/周边配套齐/采光好
"有钥匙,白色系装修,家具齐全,价格可聊,双卫,7号线",整租,4室1厅,154㎡,朝南,16000元/月,,2018-11-02 21:49:44,北京,朝阳,百子湾,金都杭城,朝阳-百子湾-金都杭城,距7号线百子湾站约774米，距四惠枢纽站公交站约838米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418343163_1.htm,http://zu.fang.com/house-a01-b04512/i335/,
网红温馨的港湾百子湾家园豪华一居室出租,整租,1室1厅,60㎡,朝南,6500元/月,,2018-11-02 21:49:44,北京,朝阳,百子湾,百子湾家园,朝阳-百子湾-百子湾家园,距1号线四惠东站约1127米，距四惠东站公交站约917米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419049542_1.htm,http://zu.fang.com/house-a01-b04512/i335/,交通便利/周边配套齐/全装全配
金茂府 南北三居 三卧朝南 看房有钥匙 空房配置,整租,3室2厅,201㎡,朝南,40000元/月,,2018-11-02 21:49:45,北京,朝阳,百子湾,广渠金茂府,朝阳-百子湾-广渠金茂府,距7号线大郊亭站约225米，距大郊亭桥东公交站约319米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419228699_1.htm,http://zu.fang.com/house-a01-b04512/i335/,
"新出,后现代城,有钥匙,复 式,豪华装修 百子湾国贸四惠第铁",整租,2室2厅,112㎡,朝东,11000元/月,,2018-11-02 21:49:45,北京,朝阳,百子湾,后现代城,朝阳-百子湾-后现代城,距7号线大郊亭站约843米，距大郊亭桥东公交站约892米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419151970_1.htm,http://zu.fang.com/house-a01-b04512/i335/,交通便利/周边配套齐/采光好
百子湾金都杭城大一居出租 带衣帽间 有钥匙 随时看房,整租,1室1厅,62㎡,朝南,6500元/月,,2018-11-02 21:49:53,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419301526_1.htm,http://zu.fang.com/house-a01-b04512/i336/,
百子湾地铁站 沿海赛洛城 精装大主卧 大阳台 三家合住 没有,合租主卧,2户合租,30㎡,朝南,3300元/月,,2018-11-02 21:49:53,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419240971_1.htm,http://zu.fang.com/house-a01-b04512/i336/,全装全配/首次出租/周边配套齐
百子湾 金泰先锋精装二居室 房间状态好 钥匙在手 随时看房,整租,2室1厅,95㎡,朝东,8900元/月,,2018-11-02 21:49:53,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417652304_1.htm,http://zu.fang.com/house-a01-b04512/i336/,周边配套齐/全装全配/交通便利
高层观景 鸟瞰一览无余!沿海赛洛城大一居双阳台,整租,1室1厅,60㎡,朝南,6300元/月,,2018-11-02 21:49:53,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419434286_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/采光好/首次出租
推荐三里屯百子湾沿海赛洛城温馨出租,整租,1室1厅,60㎡,朝南,6200元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419079246_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/周边配套齐/全装全配
金茂府 合生汇 大郊亭站 交通便利 装修保养好 只为等到您,整租,5室2厅,382㎡,朝南,100000元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,广渠金茂府,朝阳-百子湾-广渠金茂府,距7号线大郊亭站约225米，距大郊亭桥东公交站约319米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419206156_1.htm,http://zu.fang.com/house-a01-b04512/i336/,
金海国际 百子湾 正规卧室 合租 价位低 带室外窗,合租主卧,3户合租,89㎡,朝东,1700元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,金海国际,朝阳-百子湾-金海国际,距7号线大郊亭站约511米，距大郊亭桥东公交站约297米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419360233_1.htm,http://zu.fang.com/house-a01-b04512/i336/,采光好/全装全配
百子湾 沿海赛洛城 精装 干净温馨 上下两层动静分离,整租,1室1厅,60㎡,朝南,6500元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419294448_1.htm,http://zu.fang.com/house-a01-b04512/i336/,
双井大望路百子湾后现代城开间出租价格便宜随时看房入住,整租,1室1厅,45㎡,朝北,5188元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,后现代城,朝阳-百子湾-后现代城,距7号线大郊亭站约843米，距大郊亭桥东公交站约892米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417992260_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/周边配套齐/独门独卫
大郊亭地铁站 免中间费 免租期 精装修一居室 位置优越 拎包入住,整租,1室1厅,77㎡,朝东,15000元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,广渠金茂府,朝阳-百子湾-广渠金茂府,距7号线大郊亭站约225米，距大郊亭桥东公交站约319米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419140851_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/全装全配/采光好
,,,,,,,2018-11-02 21:49:54,北京,朝阳,百子湾,,,,,,http://zu.fang.com/house-a01-b04512/i336/,
大成国际附近 百子湾阳台大次卧 先到先得 房源多多,合租次卧,5户合租,16㎡,朝南,2450元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419450143_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/周边配套齐/全装全配
百子湾沿海赛洛城新出欧式一居 包物业取暖 温馨舒适随时看,整租,1室1厅,70㎡,朝南,6800元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418676444_1.htm,http://zu.fang.com/house-a01-b04512/i336/,
东四环百子湾 沿海赛洛城 7号线 小区安全性高 随时可看,整租,2室1厅,93㎡,朝东,8500元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418282409_1.htm,http://zu.fang.com/house-a01-b04512/i336/,
广渠金茂府 高层空房三居出租 可!注!册及办!公,整租,3室2厅,151㎡,朝南,30000元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,广渠金茂府,朝阳-百子湾-广渠金茂府,距7号线大郊亭站约225米，距大郊亭桥东公交站约319米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_413008555_1.htm,http://zu.fang.com/house-a01-b04512/i336/,
国贸工体三里屯 沿海赛洛城豪华大 设施齐全 拎包入住 随时看,整租,1室1厅,65㎡,朝南,7000元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417276729_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/周边配套齐/全装全配
沿海赛洛城 东向复式一居室 房子保养好 随时入住,整租,1室1厅,50㎡,朝东,7000元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418339841_1.htm,http://zu.fang.com/house-a01-b04512/i336/,
"沿海赛洛城豪华.低价出租,随时看房",整租,1室1厅,68㎡,朝南,6600元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_412249147_1.htm,http://zu.fang.com/house-a01-b04512/i336/,全装全配/周边配套齐/采光好
东四环双井百子湾大成国际温馨开间 欢迎咨询!,整租,1室1厅,55㎡,朝南,5800元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,大成国际中心,朝阳-百子湾-大成国际中心,距7号线大郊亭站约819米，距大郊亭桥东公交站约707米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419433749_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/全装全配/采光好
"全南一居,采光好,",整租,1室1厅,56㎡,朝南,6500元/月,,2018-11-02 21:49:54,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419227790_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/周边配套齐/独门独卫
国贸边 后现代城三居室 出租 拎包入住 采光好 位置静,整租,3室1厅,111㎡,朝南,13000元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,后现代城,朝阳-百子湾-后现代城,距7号线大郊亭站约843米，距大郊亭桥东公交站约892米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_410365275_1.htm,http://zu.fang.com/house-a01-b04512/i336/,南北通透/首次出租/全装全配
网红温馨的港湾百子湾家园豪华一居室出租,整租,1室1厅,60㎡,朝南,6500元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,百子湾家园,朝阳-百子湾-百子湾家园,距1号线四惠东站约1127米，距四惠东站公交站约917米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419049542_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/周边配套齐/全装全配
价格很实惠!双井百子湾干净两居 上班族,整租,2室1厅,90㎡,朝南,7300元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419434254_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/周边配套齐/全装全配
百子湾沿海赛洛城新出温馨公主房 户型 全新家具豪华装修,整租,1室1厅,70㎡,朝南,6650元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418634370_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/周边配套齐/全装全配
百子湾附近精装修主卧 免费保洁 家电齐全 拎包入住,合租主卧,3户合租,19㎡,朝南,2100元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,金海国际,朝阳-百子湾-金海国际,距7号线大郊亭站约511米，距大郊亭桥东公交站约297米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419462693_1.htm,http://zu.fang.com/house-a01-b04512/i336/,
金茂府、正规三居室、中间楼层、南北通透采光好、看房随时,整租,3室2厅,201㎡,朝南,42000元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,广渠金茂府,朝阳-百子湾-广渠金茂府,距7号线大郊亭站约225米，距大郊亭桥东公交站约319米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418779243_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/周边配套齐/独门独卫
双井四惠附近 百子湾次卧 有空调 可洗澡做饭 拎包即住,合租主卧,5户合租,20㎡,朝南,2000元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419396319_1.htm,http://zu.fang.com/house-a01-b04512/i336/,
大望路九龙山出租大望路国贸百子湾后现代城大单间仅需1400,合租单间,5户合租,12㎡,朝东,1400元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,后现代城,朝阳-百子湾-后现代城,距7号线大郊亭站约843米，距大郊亭桥东公交站约892米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419387416_1.htm,http://zu.fang.com/house-a01-b04512/i336/,周边配套齐/交通便利/采光好
国贸双井百子湾网红聚集地开间出租,整租,1室1厅,60㎡,朝南,6200元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419080253_1.htm,http://zu.fang.com/house-a01-b04512/i336/,
出租广渠门 大郊亭地铁7号线 可 随时看房,整租,1室0厅,45㎡,朝南,7800元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,广渠金茂府,朝阳-百子湾-广渠金茂府,距7号线大郊亭站约225米，距大郊亭桥东公交站约319米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417798235_1.htm,http://zu.fang.com/house-a01-b04512/i336/,可注册办公/交通便利/全装全配
"百子湾,金海国际,",合租次卧,6户合租,20㎡,朝南,2500元/月,,2018-11-02 21:49:55,北京,朝阳,百子湾,沿海赛洛城,朝阳-百子湾-沿海赛洛城,距7号线百子湾站约572米，距东石门公交站约543米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419225295_1.htm,http://zu.fang.com/house-a01-b04512/i336/,交通便利/周边配套齐/采光好
平乐园小区距离14号线平乐园站300米,合租次卧,3户合租,64㎡,朝南,2300元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419207391_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/周边配套齐/采光好
"双井平乐园小区2室,14号线,错过后悔,可宿舍",整租,2室1厅,65㎡,朝南,6000元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418965247_1.htm,http://zu.fang.com/house-a01-b02324/,采光好/交通便利/周边配套齐
平乐园小区 九龙山合生汇国际花园 采光好 随时看房,合租主卧,3户合租,26㎡,朝南,2700元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_418963584_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/周边配套齐/全装全配
大望路 九龙山 珠江帝景平乐园社区三家合住次卧出租随时看房,合租次卧,2户合租,20㎡,朝北,2200元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_418964761_1.htm,http://zu.fang.com/house-a01-b02324/,采光好/交通便利/周边配套齐
平乐园小区 两居室 平乐园地体 国贸 双井 劲松,整租,2室1厅,49㎡,朝南,6000元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417010000_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/周边配套齐/独门独卫
西大望路 南磨房 地铁14线 平乐园 齐全2居 急租!!!,整租,2室1厅,65㎡,朝南,5200元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_418970352_1.htm,http://zu.fang.com/house-a01-b02324/,
平乐园小区 2室1厅1卫个人,整租,2室1厅,65㎡,朝南,6800元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419351830_1.htm,http://zu.fang.com/house-a01-b02324/,
业主直租 十四号线平乐园地铁 平乐园精装两居室 欢迎随时看房,整租,2室1厅,60㎡,朝南,5000元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417163151_1.htm,http://zu.fang.com/house-a01-b02324/,采光好/全装全配/交通便利
平乐园小区 一居室 珠江帝景 双井 国贸劲松 百环家园,整租,1室1厅,51㎡,朝南,5100元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417010471_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/周边配套齐/独门独卫
平乐园小区一居室出租,整租,1室1厅,50㎡,朝南,4800元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_401884927_1.htm,http://zu.fang.com/house-a01-b02324/,全装全配/周边配套齐/交通便利
,,,,,,,2018-11-02 21:50:10,北京,朝阳,北工大,,,,,,http://zu.fang.com/house-a01-b02324/,
豪装 双井 劲松 潘家园 大望路 合生汇 北工大 可做白领宿舍,整租,1室1厅,50㎡,朝西,4500元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417099149_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/独门独卫/全装全配
北工大14号线平乐园小区南向一居室便宜出租采光好随时看房入住,整租,1室1厅,55㎡,朝南,4600元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419197244_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/周边配套齐/独门独卫
出租 平乐园小区精装修 主卧室 家具齐全 看房随时 拎包入住,合租主卧,3户合租,26㎡,朝南,2099元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419308147_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/采光好/首次出租
平乐园小区14号平乐园地铁站,合租主卧,2户合租,48㎡,朝南,2600元/月,,2018-11-02 21:50:10,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_419139950_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/周边配套齐/采光好
平乐园小区 两居室 平乐园地铁 国贸 双井 劲松,整租,2室1厅,59㎡,朝南,6500元/月,,2018-11-02 21:50:11,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_417008611_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/周边配套齐/采光好
平乐园小区 松榆南路 带明窗 大单间 南北通透 环境优美,合租次卧,3户合租,23㎡,朝南,1700元/月,,2018-11-02 21:50:11,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_418587510_1.htm,http://zu.fang.com/house-a01-b02324/,南北通透
平乐园小区14号平乐园地铁站,整租,1室1厅,55㎡,朝南,4900元/月,,2018-11-02 21:50:11,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419136911_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/周边配套齐/采光好
北工大平乐园14号线南向一居室便宜出租温馨整洁随时看房入住,整租,1室1厅,55㎡,朝南,4600元/月,,2018-11-02 21:50:11,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419301782_1.htm,http://zu.fang.com/house-a01-b02324/,交通便利/周边配套齐/独门独卫
平乐园小区 松榆南路 带明窗 客厅改大单间 南北通透 环境,合租单间,2户合租,23㎡,朝南,1750元/月,,2018-11-02 21:50:11,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/hezu/3_414975092_1.htm,http://zu.fang.com/house-a01-b02324/,南北通透
十四号线 西大望路 平乐园 精装修两居室,整租,2室1厅,60㎡,朝南,6000元/月,,2018-11-02 21:50:11,北京,朝阳,北工大,平乐园小区,朝阳-北工大-平乐园小区,距14号线北京工业大学站约934米，距松榆北路东口公交站约882米,http://img.soufunimg.com/secondhouse/image/loading100_75.gif,http://zu.fang.com/chuzu/3_419451425_1.htm,http://zu.fang.com/house-a01-b02324/,
